filename,extracted_text
Template5_Instance102.jpg,"Date: 25-Jul-2016
Invoice number 1Y3M5d-291

 

 

 

 

 

 

PO Number :01

Bill to:Hunter White

‘580 Johns Trafficway Apt. 099

Lake Elizabethfort, CA 70291 US

Tel:+(383)777-6857

Email:robbinsjoseph@example.net

Site:http://www.jackson-roberts.com/
‘ty © Description Unitprice | Amount
3.00 427900__| Nor campaign. 66.31 198598
5.00 492288 | Care require. 99.14 495.70
6.00 ‘377740 | Nor past. 7453 447.18

 

 

 

 

 

 

‘SUB_TOTAL : 1141.81 EUR
TAX:VAT (6.32%): 72.16 EUR
BALANCE DUE : 1183.48 EUR

Total in words: one thousand, one hundred and-
ighty-three point four eight

 

Note: All payments to be made in cash.
Contact us for queries on these quotations.

 

Address:233 Foster Gardens
Johnburgh, ID 41900 US

Bailey Group
Email:paul73@example.com
"
Template5_Instance10.jpg,"Date: 04-Aug-2020
INVOICE # 6Y5M64-746
PO Number :19

 

Buyer :Patrick Rodriguez
9566 Vasquez Inlet

North Erica, IN 28285 US
Tol:+(432)188-1728
Email:ydavis@exampk
Site:http://stevens.com/

 

 

ay 0 Description Unitprice | Amount

 

5.00 '876422__| Detense member ball 83.53 417.65

 

 

 

 

 

 

 

6.00 765800 | Woerainly. 2288 136.08)

 

‘SUB_TOTAL : 563.73 USD
TAX:VAT (4.49%): 24.86 USD
BALANCE DUE : 564.97 USD
Total in words: five hundred and
four point nine seven

 

‘Thank you for choosing us!

Address:233 Foster Gardens

Johnburgh, ID 41900 US

Bailey Group
Email:paul73@example.com
"
Template5_Instance100.jpg,"Invoice Date: 04-Oct-2022
Invoice number INV94037759
PO Number :25

 

Buyer :Daniel Pierce
78347 Schultz Island

Buckfort, MD 18498 US.
Tel:+(369)437-5540
Email:howellsharon@example.com
Site:httpsi//kelley.com/

 

 

‘ay © Description Unitprice | Amount

 

3.00 (001963 __| Record alone. 13.39 407,

 

 

1.00) 474179 | Drive continue ready 16.82 16.82

 

 

 

 

 

 

‘SUB_TOTAL : 56.99 $
TAXVAT (3.13%): 1.78 $
BALANCE DUE : 56.86 $

Total in words: fifty-six po-
int eight six

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

Bailey Group
Email:paul73@example.com
"
Template5_Instance1.jpg,"Invoice Date: 13-Apr-2008
INVOICE ID 6553-163
PO Number :96

 

Buyer :Paul Brown
17969 Pratt Bypass Apt. 628
Markmouth, OR 78073 US
Tel:4(113)594-1668
Email:morankarla@example.com
Site:http:lIharvey-fuller.org/

 

 

‘ay © Description Unitprice | Amount

 

6.00 364655 | Activity he. 4.09) 564 54

 

 

 

 

 

 

 

100) 952382 | Lay course 51.30 51.30

 

SUB_TOTAL : 615.84 $
TAX:VAT (4.15%): 25.54 $
BALANCE DUE : 630.17 $

Total in words: six hundred and thi-
‘ty point one seven

 

Note: All payments to be made in cash.
Contact us for queries on these quotations.

 

Address:233 Foster Gardens
Johnburgh, ID 41900 US

Bailey Group
Email:paul73@example.com
"
Template5_Instance103.jpg,"Invoice Date: 09-Sep-2003

Invoice number INV/80-18/089
PO Number 95

 

Buyer :Steve Yang

28881 Nathaniel Squares Apt. 623
Tuckerburgh, AK 41164 US
Tel:+(989)868-6209
Email:elizabeth08@example.net
Site:http:/ismith-mebride.com/

 

 

 

 

 

 

ary © Description Unitprice | Amount
3.00 287493 __| Difference story 153, 188559
3.00 750400 | Subject county. 17.62 52.86
5.00 7298075 _| Person customer child 125 625

 

 

 

 

 

 

‘SUB_TOTAL : 243.70 USD
TAX:VAT (4.90%): 11.93 USD
BALANCE DUE : 248.05 USD

Total in words: two hundred and forty-
-eight point zero five

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

Bailey Group
Email:paul73@example.com
"
Template5_Instance0.jpg,"Date: 18-Jan-1999
INVOICE ID 5Y3M7d-590

 

 

 

 

 

 

 

PO Number :84

Bill to:Robyn Johnson

233 Foster Gardens

Johnburgh, 1D 41900 US

Tel:+(108)863-6905

Email:paul73@example.com

Site:http:/iwww jones.biz!
ay [0 Description Unitpriee [Amount
400 | s72572 | Speok cata. 588 23.48
00 | 050587 | Apply student ard 35.87 57522
3.00 | 490537 | Economy peopl. 284 2952
7.00 [477174 | Human suggest veo W027 3027

 

 

 

 

 

 

‘SUB_TOTAL : 677.45 USD
TAX:VAT (3.49%): 23.66 USD
BALANCE DUE : 677.33 USD

Total in words: six hundred and seventy-
-seven point three three

 

‘Thank you for your business!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

Bailey Group
Email:paul73@example.com
"
Template5_Instance101.jpg,"Invoice Date: 27-Jan-2009
Invoice number SY2M74-545
PO Number 62

 

Bill to:Sean Nichols
35450 Brooke Freeway Suite 786
Jacksonchester, FM 62786 US
Tel:+(821)255-7277
Email:christopherlamb@example.org
Site:http://proctor.info!

 

ay © Description Unitprice | Amount

 

100) 962924 | Ten create 5471 5471

 

 

 

 

 

 

 

4.00 201569 __| Strategy because total 2228 e912

 

‘SUB_TOTAL : 143.83 USD
TAX:VAT (6.63%): 9.53 USD
BALANCE DUE : 151.09 USD
Total in words: one hundred and fift-
y-one point zero nine

Note:Total payment due in 14 days.

Address:233 Foster Gardens

Johnburgh, ID 41900 US

Bailey Group
Email:paul73@example.com
"
Template5_Instance114.jpg,"Date: 09-Mar-2020
INVOICE # INV/88-12/170

 

 

 

 

 

 

 

 

PO Number :87

Bill to:Amanda Horton

0524 Rhonda Villages

‘South Bradleyview, LA 88315 US

Tel:+(779)817-4007

Email:brewerrichard@example.net

Site:httpsi//carter.com/
ty 10 Description Unitprice | Amount
4.00 1296180 | Sport close garden 18.43 7372,
6.00 208575 | For data pass. 6808 408.48
6.00 ‘920104 | Table particular waar, 386.82
4.00 2e7134 | Modern rich 4459) 178.36,

 

 

 

 

 

 

‘SUB_TOTAL : 1047.38 EUR

TAX:VAT (6.40%): 66.99 EUR

BALANCE DUE : 1076.77 EUR

Total in words: one thousand and sevent-
y-six point seven seven

‘Thank you for your business!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

Bailey Group
Email:paul73@example.com
"
Template5_Instance106.jpg," 

 

 

 

Date: 25-Dec-1997
Invoice number 3823-367

 

 

 

 

 

 

 

 

 

 

 

PO Number :87
Jenniferstad, MN 19295 US.
Tel:+(431)330-7998
Email:loriwoodward@example.com
Site:https://rodriguez.com/
ty 10 Description Unitprice | Amount
2.00 22841 | Plant discover firm, 4495) 3990
5.00 (968130___| Tw per sing 178 458.90
6.00 1650204 | Window happy. 6543) 398.58
100) 482304 | Guy build parent 788 788
‘SUB_TOTAL : 1035.24 EUR
TAX:VAT (5.68%): 58.83 EUR
BALANCE DUE : 1042.62 EUR
Total in words: one thousand and for-
ty-two point six two
Note:

This order is shipped through blue dart courier

Bailey Group

Address:233 Foster Gardens
Johnburgh, ID 41900 US

Email:paul73@example.com
"
Template5_Instance116.jpg,"Date: 23-Oct-1997
INVOICE # 5Y8M5d-143,
PO Number :16

 

Buyer Joseph Klein
0557 Norman Alley Suite 225
Lake Rachel, PR 13216 US
Tel:+(203)196-4600
Email:yjohnson@example.org
Site:http:/iwww.guerrero.com!

 

aty 0 Description Unitprice | Amount

 

4.00 7266438__| Spend relate describe, 920 36.80

 

 

 

 

 

 

 

3.00 369508 | Anyone image memory. 39.70 119.10,

 

‘SUB_TOTAL : 155.90 EUR
TAXVAT (3.75%): 5.85 EUR
BALANCE DUE : 159.01 EUR
Total in words: one hundred and fift-
y-nine point zero one

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

Bailey Group
Email:paul73@example.com
"
